el	es 
data\el_es\el\20090715-0900-PLENARY-10-el_es_20090715-15-32-15_7.wav	data\el_es\es\20090715-0900-PLENARY-10-el_es_20090715-15-32-15_7.wav
data\el_es\el\20090715-0900-PLENARY-10-el_es_20090715-15-32-15_9.wav	data\el_es\es\20090715-0900-PLENARY-10-el_es_20090715-15-32-15_9.wav
data\el_es\el\20090715-0900-PLENARY-10-el_es_20090715-15-34-44_0.wav	data\el_es\es\20090715-0900-PLENARY-10-el_es_20090715-15-34-44_0.wav
data\el_es\el\20090715-0900-PLENARY-10-el_es_20090715-15-34-44_1.wav	data\el_es\es\20090715-0900-PLENARY-10-el_es_20090715-15-34-44_1.wav
data\el_es\el\20090715-0900-PLENARY-10-el_es_20090715-15-34-44_2.wav	data\el_es\es\20090715-0900-PLENARY-10-el_es_20090715-15-34-44_2.wav
data\el_es\el\20090715-0900-PLENARY-10-el_es_20090715-15-34-44_3.wav	data\el_es\es\20090715-0900-PLENARY-10-el_es_20090715-15-34-44_3.wav
data\el_es\el\20090715-0900-PLENARY-10-el_es_20090715-15-34-44_4.wav	data\el_es\es\20090715-0900-PLENARY-10-el_es_20090715-15-34-44_4.wav
data\el_es\el\20090715-0900-PLENARY-10-el_es_20090715-15-34-44_5.wav	data\el_es\es\20090715-0900-PLENARY-10-el_es_20090715-15-34-44_5.wav
data\el_es\el\20090715-0900-PLENARY-10-el_es_20090715-15-34-44_7.wav	data\el_es\es\20090715-0900-PLENARY-10-el_es_20090715-15-34-44_7.wav
data\el_es\el\20090715-0900-PLENARY-10-el_es_20090715-15-34-44_8.wav	data\el_es\es\20090715-0900-PLENARY-10-el_es_20090715-15-34-44_8.wav
data\el_es\el\20090715-0900-PLENARY-10-el_es_20090715-15-34-44_9.wav	data\el_es\es\20090715-0900-PLENARY-10-el_es_20090715-15-34-44_9.wav
data\el_es\el\20090715-0900-PLENARY-10-el_es_20090715-15-58-26_0.wav	data\el_es\es\20090715-0900-PLENARY-10-el_es_20090715-15-58-26_0.wav
data\el_es\el\20090715-0900-PLENARY-10-el_es_20090715-15-58-26_1.wav	data\el_es\es\20090715-0900-PLENARY-10-el_es_20090715-15-58-26_1.wav
data\el_es\el\20090715-0900-PLENARY-10-el_es_20090715-15-58-26_2.wav	data\el_es\es\20090715-0900-PLENARY-10-el_es_20090715-15-58-26_2.wav
data\el_es\el\20090715-0900-PLENARY-10-el_es_20090715-15-58-26_3.wav	data\el_es\es\20090715-0900-PLENARY-10-el_es_20090715-15-58-26_3.wav
data\el_es\el\20090715-0900-PLENARY-10-el_es_20090715-15-58-26_4.wav	data\el_es\es\20090715-0900-PLENARY-10-el_es_20090715-15-58-26_4.wav
data\el_es\el\20090715-0900-PLENARY-10-el_es_20090715-15-58-26_5.wav	data\el_es\es\20090715-0900-PLENARY-10-el_es_20090715-15-58-26_5.wav
data\el_es\el\20090715-0900-PLENARY-10-el_es_20090715-16-01-21_1.wav	data\el_es\es\20090715-0900-PLENARY-10-el_es_20090715-16-01-21_1.wav
data\el_es\el\20090715-0900-PLENARY-10-el_es_20090715-16-01-21_2.wav	data\el_es\es\20090715-0900-PLENARY-10-el_es_20090715-16-01-21_2.wav
data\el_es\el\20090715-0900-PLENARY-10-el_es_20090715-16-01-21_3.wav	data\el_es\es\20090715-0900-PLENARY-10-el_es_20090715-16-01-21_3.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-08-47_2.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-08-47_2.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-08-47_4.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-08-47_4.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-08-47_5.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-08-47_5.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-08-47_6.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-08-47_6.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-08-47_7.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-08-47_7.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-11-08_1.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-11-08_1.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-11-08_2.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-11-08_2.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-11-08_4.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-11-08_4.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-13-08_1.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-13-08_1.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-13-08_2.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-13-08_2.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-13-08_3.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-13-08_3.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-13-08_9.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-13-08_9.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-16-01_1.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-16-01_1.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-16-01_3.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-16-01_3.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-16-01_4.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-16-01_4.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-16-01_5.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-16-01_5.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-18-25_10.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-18-25_10.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-18-25_11.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-18-25_11.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-18-25_13.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-18-25_13.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-18-25_3.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-18-25_3.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-18-25_4.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-18-25_4.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-18-25_5.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-18-25_5.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-18-25_6.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-18-25_6.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-18-25_7.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-18-25_7.wav
data\el_es\el\20090715-0900-PLENARY-12-el_es_20090715-17-18-25_8.wav	data\el_es\es\20090715-0900-PLENARY-12-el_es_20090715-17-18-25_8.wav
data\el_es\el\20090715-0900-PLENARY-7-el_es_20090715-12-40-12_0.wav	data\el_es\es\20090715-0900-PLENARY-7-el_es_20090715-12-40-12_0.wav
data\el_es\el\20090715-0900-PLENARY-7-el_es_20090715-12-40-12_1.wav	data\el_es\es\20090715-0900-PLENARY-7-el_es_20090715-12-40-12_1.wav
data\el_es\el\20090715-0900-PLENARY-7-el_es_20090715-12-40-12_2.wav	data\el_es\es\20090715-0900-PLENARY-7-el_es_20090715-12-40-12_2.wav
data\el_es\el\20090715-0900-PLENARY-7-el_es_20090715-12-40-12_3.wav	data\el_es\es\20090715-0900-PLENARY-7-el_es_20090715-12-40-12_3.wav
data\el_es\el\20090715-0900-PLENARY-7-el_es_20090715-12-40-12_4.wav	data\el_es\es\20090715-0900-PLENARY-7-el_es_20090715-12-40-12_4.wav
data\el_es\el\20090715-0900-PLENARY-7-el_es_20090715-12-40-12_5.wav	data\el_es\es\20090715-0900-PLENARY-7-el_es_20090715-12-40-12_5.wav
data\el_es\el\20090715-0900-PLENARY-7-el_es_20090715-12-40-12_6.wav	data\el_es\es\20090715-0900-PLENARY-7-el_es_20090715-12-40-12_6.wav
data\el_es\el\20090715-0900-PLENARY-7-el_es_20090715-12-40-12_7.wav	data\el_es\es\20090715-0900-PLENARY-7-el_es_20090715-12-40-12_7.wav
data\el_es\el\20090914-0900-PLENARY-13-el_es_20090914-17-53-24_0.wav	data\el_es\es\20090914-0900-PLENARY-13-el_es_20090914-17-53-24_0.wav
data\el_es\el\20090914-0900-PLENARY-13-el_es_20090914-17-53-24_1.wav	data\el_es\es\20090914-0900-PLENARY-13-el_es_20090914-17-53-24_1.wav
data\el_es\el\20090914-0900-PLENARY-13-el_es_20090914-17-53-24_2.wav	data\el_es\es\20090914-0900-PLENARY-13-el_es_20090914-17-53-24_2.wav
data\el_es\el\20090914-0900-PLENARY-13-el_es_20090914-17-53-24_3.wav	data\el_es\es\20090914-0900-PLENARY-13-el_es_20090914-17-53-24_3.wav
data\el_es\el\20090914-0900-PLENARY-13-el_es_20090914-17-53-24_4.wav	data\el_es\es\20090914-0900-PLENARY-13-el_es_20090914-17-53-24_4.wav
data\el_es\el\20090914-0900-PLENARY-13-el_es_20090914-17-53-24_5.wav	data\el_es\es\20090914-0900-PLENARY-13-el_es_20090914-17-53-24_5.wav
data\el_es\el\20090914-0900-PLENARY-13-el_es_20090914-17-53-24_6.wav	data\el_es\es\20090914-0900-PLENARY-13-el_es_20090914-17-53-24_6.wav
data\el_es\el\20090914-0900-PLENARY-13-el_es_20090914-17-53-24_7.wav	data\el_es\es\20090914-0900-PLENARY-13-el_es_20090914-17-53-24_7.wav
data\el_es\el\20090914-0900-PLENARY-13-el_es_20090914-17-53-24_8.wav	data\el_es\es\20090914-0900-PLENARY-13-el_es_20090914-17-53-24_8.wav
data\el_es\el\20090914-0900-PLENARY-13-el_es_20090914-18-04-19_0.wav	data\el_es\es\20090914-0900-PLENARY-13-el_es_20090914-18-04-19_0.wav
data\el_es\el\20090914-0900-PLENARY-13-el_es_20090914-18-04-19_1.wav	data\el_es\es\20090914-0900-PLENARY-13-el_es_20090914-18-04-19_1.wav
data\el_es\el\20090914-0900-PLENARY-13-el_es_20090914-18-04-19_2.wav	data\el_es\es\20090914-0900-PLENARY-13-el_es_20090914-18-04-19_2.wav
data\el_es\el\20090914-0900-PLENARY-13-el_es_20090914-18-04-19_3.wav	data\el_es\es\20090914-0900-PLENARY-13-el_es_20090914-18-04-19_3.wav
data\el_es\el\20090914-0900-PLENARY-14-el_es_20090914-19-29-27_4.wav	data\el_es\es\20090914-0900-PLENARY-14-el_es_20090914-19-29-27_4.wav
data\el_es\el\20090914-0900-PLENARY-14-el_es_20090914-19-29-27_5.wav	data\el_es\es\20090914-0900-PLENARY-14-el_es_20090914-19-29-27_5.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-20-24-06_3.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-20-24-06_3.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-20-24-06_6.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-20-24-06_6.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-20-51-11_1.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-20-51-11_1.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-20-51-11_3.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-20-51-11_3.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-20-51-11_4.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-20-51-11_4.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-20-51-11_7.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-20-51-11_7.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-20-51-11_8.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-20-51-11_8.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-20-51-11_9.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-20-51-11_9.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_0.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_0.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_10.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_10.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_11.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_11.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_12.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_12.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_13.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_13.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_14.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_14.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_15.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_15.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_3.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_3.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_4.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_4.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_5.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_5.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_7.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_7.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_8.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_8.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_9.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-20-53-23_9.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-05-11_1.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-05-11_1.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-05-11_2.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-05-11_2.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-05-11_3.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-05-11_3.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-05-11_5.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-05-11_5.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-05-11_6.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-05-11_6.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-05-11_7.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-05-11_7.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-05-11_8.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-05-11_8.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_1.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_1.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_10.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_10.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_11.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_11.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_13.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_13.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_14.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_14.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_15.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_15.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_16.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_16.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_2.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_2.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_3.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_3.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_4.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_4.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_5.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_5.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_6.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_6.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_9.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-13-12_9.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-24-11_0.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-24-11_0.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-24-11_1.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-24-11_1.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-24-11_2.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-24-11_2.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-24-11_4.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-24-11_4.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-24-11_5.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-24-11_5.wav
data\el_es\el\20090914-0900-PLENARY-15-el_es_20090914-21-24-11_6.wav	data\el_es\es\20090914-0900-PLENARY-15-el_es_20090914-21-24-11_6.wav
data\el_es\el\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_1.wav	data\el_es\es\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_1.wav
data\el_es\el\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_10.wav	data\el_es\es\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_10.wav
data\el_es\el\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_11.wav	data\el_es\es\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_11.wav
data\el_es\el\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_12.wav	data\el_es\es\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_12.wav
data\el_es\el\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_2.wav	data\el_es\es\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_2.wav
data\el_es\el\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_3.wav	data\el_es\es\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_3.wav
data\el_es\el\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_4.wav	data\el_es\es\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_4.wav
data\el_es\el\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_5.wav	data\el_es\es\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_5.wav
data\el_es\el\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_6.wav	data\el_es\es\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_6.wav
data\el_es\el\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_7.wav	data\el_es\es\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_7.wav
data\el_es\el\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_8.wav	data\el_es\es\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_8.wav
data\el_es\el\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_9.wav	data\el_es\es\20090914-0900-PLENARY-17-el_es_20090914-22-30-11_9.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-16-44-53_1.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-16-44-53_1.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-16-44-53_2.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-16-44-53_2.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-16-44-53_3.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-16-44-53_3.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-16-44-53_4.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-16-44-53_4.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-16-44-53_5.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-16-44-53_5.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-16-44-53_6.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-16-44-53_6.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-16-44-53_7.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-16-44-53_7.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_1.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_1.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_10.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_10.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_11.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_11.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_12.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_12.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_13.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_13.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_14.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_14.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_2.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_2.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_3.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_3.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_4.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_4.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_5.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_5.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_6.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_6.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_7.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_7.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_8.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_8.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_9.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-38-36_9.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-40-47_0.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-40-47_0.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-40-47_1.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-40-47_1.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-40-47_10.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-40-47_10.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-40-47_3.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-40-47_3.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-40-47_4.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-40-47_4.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-40-47_5.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-40-47_5.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-40-47_6.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-40-47_6.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-40-47_7.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-40-47_7.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-40-47_8.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-40-47_8.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-17-40-47_9.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-17-40-47_9.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-18-28-25_1.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-18-28-25_1.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-18-28-25_2.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-18-28-25_2.wav
data\el_es\el\20090915-0900-PLENARY-10-el_es_20090915-18-28-25_3.wav	data\el_es\es\20090915-0900-PLENARY-10-el_es_20090915-18-28-25_3.wav
data\el_es\el\20090915-0900-PLENARY-3-el_es_20090915-10-01-07_0.wav	data\el_es\es\20090915-0900-PLENARY-3-el_es_20090915-10-01-07_0.wav
data\el_es\el\20090915-0900-PLENARY-3-el_es_20090915-10-01-07_1.wav	data\el_es\es\20090915-0900-PLENARY-3-el_es_20090915-10-01-07_1.wav
data\el_es\el\20090915-0900-PLENARY-3-el_es_20090915-10-01-07_10.wav	data\el_es\es\20090915-0900-PLENARY-3-el_es_20090915-10-01-07_10.wav
data\el_es\el\20090915-0900-PLENARY-3-el_es_20090915-10-01-07_11.wav	data\el_es\es\20090915-0900-PLENARY-3-el_es_20090915-10-01-07_11.wav
data\el_es\el\20090915-0900-PLENARY-3-el_es_20090915-10-01-07_12.wav	data\el_es\es\20090915-0900-PLENARY-3-el_es_20090915-10-01-07_12.wav
